GeneID	Lung_rep1	Lung_rep2	Lung_rep3	Lung_rep4	Lung_rep5	Lung_rep6
NP_001000000.1	0.0	0.0	0.0254838	0.0	0.0	0.0
NP_001000001.1	0.17899	0.130043	0.20387	0.179012	0.110147	0.0311151
NP_001000002.1	0.0447474	0.0	0.0	0.0447531	0.0	0.0
NP_001000003.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000004.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000005.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000006.1	0.0429775	0.0	0.0	0.0	0.0	0.0598546
NP_001000007.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000009.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000010.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000011.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000012.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000013.1	0.0915905	0.0	0.0	0.0	0.0	0.0
NP_001000014.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000015.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000016.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000017.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000018.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000019.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000020.1	0.0	0.0	0.0	0.0	5.84569e-06	0.0
NP_001000021.1	0.0	0.0	0.0105652	0.0	0.0	0.0
NP_001000022.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000023.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000024.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000025.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000026.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000027.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000029.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000030.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000031.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000032.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000033.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000034.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000035.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000036.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000037.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000038.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000039.1	0.0	0.0	0.0	0.0	0.00699345	0.0
NP_001000040.1	0.0	0.0	0.0	0.0	0.00699345	0.0
NP_001000041.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000042.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000043.1	0.0	0.0	0.0207586	0.0445597	0.0	0.0
NP_001000044.1	0.177367	0.322246	0.0496285	0.189849	0.11944	0.154215
NP_001000045.1	0.0	0.0	0.0211305	0.0	0.0	0.0
NP_001000046.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000047.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000048.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000049.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000050.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000051.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000052.1	0.0	0.0	0.0212255	0.0	0.0	0.0
NP_001000054.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000055.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000056.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000057.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000058.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000059.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000060.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000061.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000062.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000063.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000064.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000065.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000066.1	0.222718	0.712076	1.204	0.0742662	0.264557	0.061957
NP_001000068.1	0.0	0.0	0.0212255	0.0	0.0	0.0
NP_001000069.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000070.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000071.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000072.1	0.222718	0.0	0.643517	0.0445597	0.0696204	0.061957
NP_001000073.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000074.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000075.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000076.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000077.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000078.1	0.0	0.0	0.0	0.0	0.0281006	0.0625059
NP_001000079.1	0.0	0.0644491	0.0	0.0	0.0138618	0.0
NP_001000080.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000081.1	1.89808	2.5025	2.26353	0.927736	1.25581	0.429924
NP_001000083.1	0.311805	0.194202	0.166069	0.0148532	0.0556963	0.309785
NP_001000084.1	0.0	0.0	0.19103	0.0303625	0.0712201	0.0
NP_001000085.1	0.0	0.0638866	0.184394	0.0293263	0.0412167	0.0305758
NP_001000086.1	0.0	0.0	0.0	0.0	0.0423429	0.0
NP_001000087.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000088.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000089.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000090.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000091.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000092.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000093.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000094.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000096.1	0.0	0.0	0.0206677	0.0	0.0138618	0.0
NP_001000097.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000099.1	0.0221708	0.0	0.0	0.0	0.0	0.0
NP_001000100.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000102.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000103.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000104.1	0.0	0.0	0.0	0.0146631	0.0686945	0.0
NP_001000105.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000106.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000107.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000108.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000109.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000110.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000111.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000112.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000113.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000114.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000116.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000117.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000118.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000119.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000120.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000122.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000123.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000124.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000125.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000126.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000127.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000128.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000129.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000130.1	0.0	0.0	0.122398	0.0438026	0.0547131	0.0
NP_001000131.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000132.1	0.0	0.0	0.042261	0.0	0.0	0.0
NP_001000133.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000134.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000135.1	0.0	0.0	0.0204882	0.0	0.0	0.0
NP_001000136.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000137.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000138.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000139.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000140.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000141.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000143.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000144.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000145.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000146.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000147.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000148.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000149.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000150.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000151.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000152.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000153.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000154.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000155.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000156.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000157.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000158.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000159.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000160.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000161.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000162.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000163.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000164.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000165.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000166.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000167.1	0.08447	0.0	0.0	0.0	0.0	0.0
NP_001000168.1	0.0424182	0.0	0.0	0.0	0.0132684	0.0
NP_001000169.1	0.0826844	0.0	0.0	0.0	0.0	0.0
NP_001000170.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000171.1	0.0	0.0	0.019968	0.0	0.0	0.0
NP_001000172.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000174.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000175.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000176.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000177.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000178.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000179.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000180.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000181.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000182.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000183.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000184.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000185.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000186.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000187.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000188.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000189.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000190.1	0.0	0.0	0.0	0.0	0.0138001	0.0
NP_001000191.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000192.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000193.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000194.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000195.1	0.0	0.0	0.0	0.0146009	0.0410348	0.0
NP_001000196.1	0.0	0.0	0.0211305	0.0	0.0	0.0
NP_001000197.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000198.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000199.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000200.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000201.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000202.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000203.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000204.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000205.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000206.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000207.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000208.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000209.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000210.1	0.0	0.0	0.0205776	0.0294519	0.0414002	0.0
NP_001000211.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000213.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000215.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000216.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000217.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000218.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000219.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000220.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000221.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000222.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000223.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000224.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000225.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000226.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000227.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000228.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000229.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000230.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000231.1	0.0	0.0630609	0.0202248	0.0144779	0.0949102	0.0301834
NP_001000232.1	0.0	0.133604	0.0642547	0.0306331	0.0287523	0.0
NP_001000233.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000234.1	0.0	0.0	0.0	0.0	0.00712201	0.0
NP_001000235.1	0.0464478	0.202252	0.0648434	0.0309085	0.0870647	0.0
NP_001000236.1	0.0	0.0656045	0.0	0.0	0.0	0.0
NP_001000237.1	0.0	0.33099	0.127353	0.0151812	0.0284881	0.0
NP_001000238.1	0.0899063	1.17561	0.837716	0.0599309	0.281006	0.0
NP_001000239.1	0.0	0.0	0.0212255	0.0151812	0.00712201	0.0
NP_001000240.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000241.1	0.0	0.0	0.0209429	0.0	0.0	0.0
NP_001000242.1	0.0	0.0	0.311152	0.0599309	0.0562013	0.0
NP_001000243.1	0.0	0.0	0.0627272	0.0	0.0140503	0.0
NP_001000244.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000245.1	0.0	0.0	0.0	0.00745885	0.0	0.0
NP_001000246.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000247.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000248.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000249.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000250.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000251.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000252.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000253.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000254.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000255.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000256.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000257.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000258.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000259.1	0.0	0.0	0.0	0.0288343	0.0	0.0
NP_001000260.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000261.1	0.0894949	0.0650217	0.0625511	0.0	0.0559476	0.0
NP_001000262.1	0.0	0.0	0.0	0.0	0.0274778	0.0
NP_001000263.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000264.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000266.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000267.1	0.0	0.0	0.0	0.0	0.0	0.0309785
NP_001000268.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000269.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000270.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000271.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000272.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000273.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000274.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000275.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000276.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000277.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000279.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000281.1	0.0	0.0	0.0	0.0	0.0282286	0.0
NP_001000282.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000283.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000284.1	0.0439431	0.0	0.0204882	0.0	0.0	0.0
NP_001000285.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000286.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000287.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000288.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000289.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000290.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000291.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000292.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000293.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000294.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000295.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000296.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000297.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000298.1	0.0	0.0650217	0.0	0.0	0.0	0.0
NP_001000299.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000300.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000301.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000302.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000303.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000304.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000305.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000306.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000307.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000308.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000309.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000310.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000311.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000312.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000313.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000314.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000315.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000316.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000317.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000318.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000319.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000320.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000321.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000322.1	0.0	0.129468	0.0	0.0	0.0	0.0
NP_001000323.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000324.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000325.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000326.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000327.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000328.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000329.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000330.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000331.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000332.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000333.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000334.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000335.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000336.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000337.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000338.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000339.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000340.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000341.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000342.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000343.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000344.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000345.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000347.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000348.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000349.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000350.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000351.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000352.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000353.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000354.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000355.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000356.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000357.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000359.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000360.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000361.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000362.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000363.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000364.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000365.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000366.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000367.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000368.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000369.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000371.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000372.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000373.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000374.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000375.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000376.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000377.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000378.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000379.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000380.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000381.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000382.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000383.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000384.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000385.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000386.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000387.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000388.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000389.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000390.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000391.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000392.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000393.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000394.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000395.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000397.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000398.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000399.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000400.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000401.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000402.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000403.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000404.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000405.1	0.0	0.0313952	0.0	0.0	0.0	0.0
NP_001000406.1	0.0	0.313952	0.351819	0.533434	0.256491	0.0
NP_001000407.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000408.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000409.1	0.0439431	0.0	0.0	0.0733157	0.0412167	0.0
NP_001000410.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000411.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000412.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000413.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000414.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000415.1	0.0	0.0630609	0.0236368	0.0434336	0.0573907	0.0
NP_001000416.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000418.1	0.0886833	0.0	0.0413354	0.103525	0.069309	0.0
NP_001000419.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000420.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000421.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000423.1	0.0	0.0656045	0.0	0.0	0.0	0.0
NP_001000424.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000425.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000426.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000427.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000428.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000429.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000431.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000433.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000434.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000435.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000436.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000437.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000438.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000439.1	0.0	0.0	0.0	0.0	0.0	0.0
