left_cluster,right_cluster,distance,n_observations
344,345,0.004008040896850324,2
267,268,0.004012449218900518,2
370,371,0.004015067736067594,2
445,446,0.004037186050422359,2
167,168,0.0040522446947976265,2
198,199,0.0040748065720260344,2
284,285,0.004076860906831173,2
245,246,0.004092486800137443,2
496,497,0.004093790126963417,2
143,144,0.0040949104179516015,2
221,222,0.004097419923316457,2
432,433,0.004100498827765835,2
279,280,0.004101695143284958,2
152,153,0.004140763934952745,2
413,414,0.004145552463357214,2
289,290,0.004161683884067809,2
403,404,0.004197425143832938,2
342,343,0.004213409269203035,2
308,309,0.004250566743085616,2
265,266,0.004267558985478708,2
438,439,0.004318728212169409,2
141,142,0.00432379386007379,2
282,283,0.00435035654980241,2
23,24,0.004361329459371865,2
292,293,0.00437997373883552,2
372,373,0.004437043281728069,2
85,86,0.004559519281466495,2
11,12,0.004572696319914349,2
38,39,0.0046237035085487125,2
332,333,0.004634702650190338,2
179,180,0.004663697403193448,2
67,68,0.004798281877983875,2
175,176,0.00488975899299081,2
83,84,0.004908833864026584,2
302,303,0.004950054857299639,2
388,389,0.005098747125458289,2
219,220,0.005099798912396892,2
334,335,0.005120018532148879,2
1,2,0.005223896544828557,2
189,190,0.005238342797337198,2
360,361,0.005294708511477691,2
207,208,0.005306962598824326,2
409,410,0.005309104126672314,2
91,92,0.00530958354281977,2
231,232,0.005487102486927342,2
99,100,0.005764487237062505,2
17,18,0.005789856887539146,2
250,251,0.005826357579434827,2
88,89,0.005959568788340796,2
97,98,0.006008147015019109,2
443,444,0.00601058252349751,2
420,421,0.006019026154327055,2
338,339,0.006034959482515355,2
296,297,0.006036823592394732,2
154,155,0.006123607023076951,2
281,512,0.006225212365150156,3
162,163,0.006267549751633504,2
427,428,0.006306497753443737,2
466,467,0.006320615397738664,2
50,51,0.006366150240727597,2
341,517,0.0063717739843064634,3
369,502,0.006469650569313409,3
247,507,0.006538960813523705,3
429,430,0.006547404262776104,2
298,299,0.006577712253274019,2
479,480,0.006678675773565938,2
151,513,0.0066883765947605926,3
20,21,0.006894159240288787,2
134,135,0.007037790545622984,2
455,456,0.00708965841779128,2
475,476,0.0070928827406524075,2
119,120,0.00711867204035464,2
200,505,0.007157638693690839,3
79,80,0.007248958366675462,2
406,407,0.00733657569279424,2
447,503,0.007380166887155325,3
393,394,0.007404613080310336,2
310,518,0.007486661908023271,3
471,472,0.007521159530191616,2
382,383,0.0075905486749874304,2
27,28,0.007776022994150556,2
145,146,0.00777779546757107,2
257,258,0.007863973143390648,2
364,365,0.007917112816281914,2
113,115,0.008028419045254174,2
460,462,0.00803113731530499,2
463,465,0.008040360834576491,2
319,321,0.008045401636473317,2
300,564,0.008053077907011468,3
77,78,0.008062362059096294,2
313,315,0.00807892074600948,2
54,56,0.008086502961877528,2
357,359,0.008100359327316583,2
64,65,0.008115299275455845,2
376,377,0.008168638764834854,2
324,326,0.00823499783091987,2
72,73,0.008284453055047377,2
351,352,0.008313511690434297,2
236,238,0.008332239121746458,2
452,453,0.008357137448363153,2
44,46,0.008366075517427303,2
147,581,0.008396476531810537,3
401,402,0.008417610832992452,2
158,160,0.008461776161206911,2
116,118,0.008479827660539053,2
454,569,0.008489919524266394,3
328,330,0.008537571623812041,2
435,437,0.008611625657531355,2
40,41,0.008613215707860387,2
43,45,0.00869463708902681,2
126,127,0.008709934506344434,2
305,307,0.008723146470448893,2
4,6,0.008751012280051278,2
197,572,0.008787453232269671,4
423,425,0.008836620472740255,2
121,123,0.008859790792592925,2
526,533,0.008896759256289055,4
242,243,0.008958235075872302,2
348,349,0.008978867396124248,2
202,203,0.009012600585540794,2
390,392,0.009036287117399944,2
60,62,0.009044527396858513,2
318,320,0.00907792534302778,2
57,59,0.009127285261119014,2
31,33,0.009148849458578493,2
75,76,0.009213923196457793,2
269,271,0.009241904907745865,2
169,171,0.00927056450315443,2
482,483,0.009307492501728467,2
473,474,0.009376284022011117,2
213,214,0.009430401041053806,2
216,218,0.009440019127269198,2
191,192,0.009462219509031243,2
270,272,0.009464910334703357,2
470,578,0.009490358605946408,3
492,493,0.009573467329190854,2
498,499,0.00959534289045961,2
314,590,0.009662590081305211,3
101,103,0.009665496101383852,2
529,537,0.009702242510422123,4
107,109,0.009746179964610153,2
227,228,0.009761639677882409,2
275,277,0.00990853209697683,2
397,399,0.01001517014767385,2
358,592,0.01003099234873231,3
589,625,0.010040133035627235,4
262,263,0.010043922335840358,2
440,442,0.010097725574418803,2
237,239,0.01023149212857774,2
234,544,0.010246498849327428,3
500,560,0.010338472406755068,5
187,539,0.010353137731953867,3
53,559,0.010362966967598239,3
13,14,0.010397105588332957,2
82,573,0.010479988367809697,3
70,531,0.010553930609083117,3
294,553,0.01059150775886369,3
295,524,0.010614031085918206,3
486,488,0.010737816865577487,2
164,166,0.010845884622897454,2
124,610,0.010849192140649286,3
337,552,0.010899382878837342,3
286,506,0.011065445899243544,3
186,188,0.011095606228495815,2
411,514,0.011133256526921268,3
102,104,0.011150003480350274,2
464,558,0.011176985052642516,3
3,538,0.011183102912107286,3
19,567,0.011187871433153241,3
36,528,0.011233060671346239,3
206,541,0.011311706306366319,3
375,525,0.011343409062769899,3
477,478,0.011453314561435883,2
274,642,0.011465184019890873,3
449,451,0.011502182228781228,2
110,112,0.011624507651486283,2
138,140,0.011637003049763272,2
368,561,0.011638008157836237,4
495,508,0.011670030627159713,3
322,587,0.011695055802450512,3
469,634,0.01170088351598615,4
374,594,0.011735204012179663,3
174,532,0.01186177665828957,3
201,204,0.012024145927539646,2
136,139,0.012036981355437954,2
93,96,0.012040720442903533,2
288,291,0.01204431881555602,2
94,543,0.012054447870298203,3
424,426,0.012070930146189566,2
32,35,0.012101029970220925,2
458,585,0.012130886207462757,3
34,37,0.0121661371604919,2
130,133,0.012172717777224546,2
128,129,0.012267481915636855,2
211,212,0.012381002799686692,2
