left_cluster,right_cluster,distance,n_observations
437,438,0.004025350630829284,2
211,212,0.004082905277723127,2
467,468,0.004115902138576888,2
133,134,0.004210507899128275,2
296,297,0.004593361193705434,2
287,288,0.004633142498121557,2
245,246,0.004755607909285663,2
300,301,0.004953160874281458,2
281,282,0.005417940803237407,2
275,276,0.00550918322860177,2
365,366,0.005666346500209672,2
491,492,0.0057394454384405835,2
408,409,0.005756207863864694,2
193,194,0.006285103346364147,2
340,341,0.006286563962478103,2
270,271,0.006457190186352176,2
149,150,0.006781877576882474,2
273,274,0.006801200222302591,2
488,489,0.006880080686829851,2
361,362,0.0071137308606672904,2
183,184,0.007195602781476749,2
242,243,0.007301312360805799,2
403,404,0.007490961455009075,2
96,97,0.007811358484374632,2
59,61,0.008023321670910893,2
189,191,0.008028475586367675,2
427,429,0.008045035337376032,2
30,31,0.008097209572169327,2
345,347,0.008122700840797073,2
244,506,0.008203013821428564,3
372,374,0.008315762670581707,2
27,28,0.008408567364482741,2
352,354,0.008475898767854225,2
493,511,0.008549223891829104,3
20,22,0.008777878526735802,2
129,131,0.008830714429176921,2
483,485,0.00893966211287916,2
394,396,0.008948101471304626,2
229,230,0.008965870505546519,2
107,109,0.009007358789863024,2
160,162,0.00901940573462235,2
234,235,0.009208455890794633,2
441,443,0.009227597213582302,2
106,108,0.009288414183130592,2
304,306,0.009292013478710356,2
80,82,0.00944614603966625,2
35,37,0.009528879958177023,2
178,179,0.009759395698504135,2
459,461,0.010061807273929253,2
413,414,0.010115406151327931,2
278,509,0.010572365580699093,3
1,3,0.01068058371169191,2
440,500,0.010787973398454097,3
338,514,0.011159955208938397,3
444,446,0.011214486754063809,2
142,144,0.011288980972864281,2
196,197,0.011609488297855686,2
349,350,0.011794316486784362,2
494,497,0.012026856127149672,2
311,314,0.012059243153866162,2
36,39,0.01209951947913307,2
253,256,0.01214385903220494,2
195,198,0.012303643218486046,2
135,138,0.012391128719909226,2
398,401,0.01241394046515431,2
84,86,0.012496916586081604,2
431,434,0.012629927718619163,2
174,175,0.012693608796276566,2
462,465,0.012713318845876615,2
332,335,0.012770522402308767,2
168,170,0.012900775900002564,2
473,474,0.012903113684585387,2
445,542,0.012908515587469782,3
78,81,0.012912031957993363,2
161,164,0.012930312444434032,2
101,104,0.0130015546128418,2
420,422,0.013096898199823789,2
173,176,0.013201000730812687,2
73,76,0.013220339352250686,2
421,423,0.013269651884379091,2
375,377,0.013392069907573054,2
295,504,0.013402133993941384,3
43,45,0.01342710504979699,2
265,267,0.013460834573815353,2
9,10,0.013502483912674057,2
426,428,0.013508061644792102,2
63,66,0.013571289932117423,2
92,95,0.013659523617931187,2
249,252,0.013827753379518713,2
320,321,0.013887682084429904,2
201,204,0.013888808024662913,2
208,501,0.014093582730954499,3
327,328,0.014139249034624475,2
356,532,0.014257643899676826,3
64,67,0.014308442003486181,2
14,17,0.014419992564987747,2
407,522,0.014446075320480265,3
49,52,0.014531648713152696,2
190,513,0.014568943422171847,3
395,537,0.014585980404406116,3
415,416,0.014619958429797332,2
87,90,0.014773639681841855,2
185,520,0.015020674048833872,3
172,570,0.015143214373665288,3
60,62,0.01516206073474695,2
323,324,0.015233002269354302,2
291,293,0.01529000741671605,2
283,285,0.015319015631425108,2
313,316,0.015403652215890329,2
257,561,0.015565302636867073,3
121,122,0.015609361909431003,2
471,502,0.01586161935157257,3
385,388,0.01589770489179444,2
0,4,0.01610112464935048,2
259,262,0.016191543923544677,2
206,209,0.01626279798319888,2
381,383,0.01632464187627952,2
344,348,0.0164016759718954,2
141,145,0.01657753912448658,2
111,114,0.016620328187107482,2
213,215,0.01675183938182213,2
147,555,0.016842744457327037,3
456,548,0.01692170718438088,3
412,512,0.017019368298264562,3
480,484,0.017030559657698317,2
425,526,0.01705067397441709,3
380,384,0.017055491424141065,2
450,452,0.01706508602282623,2
40,44,0.01731773128081035,2
369,530,0.017449085633183148,3
432,435,0.01747489048264204,2
12,15,0.017532840346733074,2
240,521,0.017714660620091333,3
330,334,0.017722241506696185,2
151,154,0.01793476867823148,2
228,231,0.018003987371479072,2
294,298,0.018008386576908595,2
279,508,0.0181541331505217,3
93,523,0.018180374625028584,3
48,597,0.018231755398485438,3
507,544,0.018308005793213386,4
153,516,0.01844546049854157,3
200,556,0.018638675619086685,3
216,219,0.01864032544034917,2
132,563,0.018678662547974907,3
309,559,0.018730316129933623,3
221,225,0.018784535203497398,2
124,128,0.018860183815541377,2
325,329,0.01894574031624262,2
495,498,0.019103121681450962,2
126,535,0.019321822842204718,3
289,292,0.019322464613475792,2
69,586,0.01961390799762437,3
402,405,0.019664821562287178,2
54,56,0.019757155724312223,2
370,371,0.01983056494958195,2
220,222,0.01997281404088102,2
368,373,0.02004118403149297,2
382,612,0.020137833914383223,3
263,268,0.02014272072627976,2
392,397,0.020152833807455018,2
70,594,0.020154110138950996,3
25,531,0.02021410429571731,3
94,98,0.02022243535254155,2
315,318,0.020247548664208005,2
